"Locus Tag","Gene Name","Product Description","Strain Name","Accession","GO Term","Namespace","GO Evidence Code","Evidence Ontology ECO Code","Evidence Ontology Term","Similar To \ Binds To","PMID"
"PP_0001","parB","chromosome-partitioning protein","Pseudomonas putida KT2440 (TIGR)","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00180","PMID:24451626"
"PP_0003","rsmG","16S RNA methyltransferase","Pseudomonas putida KT2440 (TIGR)","GO:0005737","cytoplasm","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR31760","PMID:24451626"
"PP_0003","rsmG","16S RNA methyltransferase","Pseudomonas putida KT2440 (TIGR)","GO:0006364","rRNA processing","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR31760","PMID:24451626"
"PP_0003","rsmG","16S RNA methyltransferase","Pseudomonas putida KT2440 (TIGR)","GO:0008649","rRNA methyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR31760","PMID:24451626"
"PP_0003","rsmG","16S RNA methyltransferase","Pseudomonas putida KT2440 (TIGR)","GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF53335","PMID:24451626"
"PP_0004","trmF","tRNA uridine 5-carboxymethylaminomethyl modification protein","Pseudomonas putida KT2440 (TIGR)","GO:0002098","tRNA wobble uridine modification","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00136","PMID:24451626"
"PP_0004","trmF","tRNA uridine 5-carboxymethylaminomethyl modification protein","Pseudomonas putida KT2440 (TIGR)","GO:0008033","tRNA processing","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR11806","PMID:24451626"
"PP_0004","trmF","tRNA uridine 5-carboxymethylaminomethyl modification protein","Pseudomonas putida KT2440 (TIGR)","GO:0050660","flavin adenine dinucleotide binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR11806","PMID:24451626"
"PP_0005","trmE","GTPase","Pseudomonas putida KT2440 (TIGR)","GO:0005515","protein binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:3.30.1360.120","PMID:24451626"
"PP_0005","trmE","GTPase","Pseudomonas putida KT2440 (TIGR)","GO:0003924","GTPase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00450","PMID:24451626"
"PP_0005","trmE","GTPase","Pseudomonas putida KT2440 (TIGR)","GO:0005525","GTP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00450","PMID:24451626"
"PP_0005","trmE","GTPase","Pseudomonas putida KT2440 (TIGR)","GO:0006400","tRNA modification","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00450","PMID:24451626"
"PP_0006","oxaA","membrane protein insertase","Pseudomonas putida KT2440 (TIGR)","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_01810","PMID:24451626"
"PP_0006","oxaA","membrane protein insertase","Pseudomonas putida KT2440 (TIGR)","GO:0032977","membrane insertase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_01810","PMID:24451626"
"PP_0008","rnpA","ribonuclease P protein component","Pseudomonas putida KT2440 (TIGR)","GO:0000049","tRNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00825","PMID:24451626"
"PP_0008","rnpA","ribonuclease P protein component","Pseudomonas putida KT2440 (TIGR)","GO:0004526","ribonuclease P activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00825","PMID:24451626"
"PP_0008","rnpA","ribonuclease P protein component","Pseudomonas putida KT2440 (TIGR)","GO:0008033","tRNA processing","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00825","PMID:24451626"
"PP_0009","rpmH","50S ribosomal protein L34","Pseudomonas putida KT2440 (TIGR)","GO:0003735","structural constituent of ribosome","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR14503","PMID:24451626"
"PP_0009","rpmH","50S ribosomal protein L34","Pseudomonas putida KT2440 (TIGR)","GO:0005840","ribosome","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR14503","PMID:24451626"
"PP_0009","rpmH","50S ribosomal protein L34","Pseudomonas putida KT2440 (TIGR)","GO:0006412","translation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR14503","PMID:24451626"
"PP_0010","dnaA","chromosomal replication initiator protein","Pseudomonas putida KT2440 (TIGR)","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00377","PMID:24451626"
"PP_0010","dnaA","chromosomal replication initiator protein","Pseudomonas putida KT2440 (TIGR)","GO:0003688","DNA replication origin binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00377","PMID:24451626"
"PP_0010","dnaA","chromosomal replication initiator protein","Pseudomonas putida KT2440 (TIGR)","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00377","PMID:24451626"
"PP_0010","dnaA","chromosomal replication initiator protein","Pseudomonas putida KT2440 (TIGR)","GO:0006270","DNA replication initiation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00377","PMID:24451626"
"PP_0010","dnaA","chromosomal replication initiator protein","Pseudomonas putida KT2440 (TIGR)","GO:0006275","regulation of DNA replication","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00377","PMID:24451626"
"PP_0010","dnaA","chromosomal replication initiator protein","Pseudomonas putida KT2440 (TIGR)","GO:0043565","sequence-specific DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:1.10.1750.10","PMID:24451626"
"PP_0010","dnaA","chromosomal replication initiator protein","Pseudomonas putida KT2440 (TIGR)","GO:0016887","ATPase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00382","PMID:24451626"
"PP_0010","dnaA","chromosomal replication initiator protein","Pseudomonas putida KT2440 (TIGR)","GO:0016887","ATP hydrolysis activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00382","PMID:24451626"
"PP_0011","dnaN","DNA polymerase III subunit beta","Pseudomonas putida KT2440 (TIGR)","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00140","PMID:24451626"
"PP_0011","dnaN","DNA polymerase III subunit beta","Pseudomonas putida KT2440 (TIGR)","GO:0006260","DNA replication","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00140","PMID:24451626"
"PP_0011","dnaN","DNA polymerase III subunit beta","Pseudomonas putida KT2440 (TIGR)","GO:0009360","DNA polymerase III complex","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd00140","PMID:24451626"
"PP_0011","dnaN","DNA polymerase III subunit beta","Pseudomonas putida KT2440 (TIGR)","GO:0003887","DNA-directed DNA polymerase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02767","PMID:24451626"
"PP_0011","dnaN","DNA polymerase III subunit beta","Pseudomonas putida KT2440 (TIGR)","GO:0008408","3'-5' exonuclease activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02767","PMID:24451626"
"PP_0012","recF","DNA replication/repair protein","Pseudomonas putida KT2440 (TIGR)","GO:0003697","single-stranded DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00611","PMID:24451626"
"PP_0012","recF","DNA replication/repair protein","Pseudomonas putida KT2440 (TIGR)","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00611","PMID:24451626"
"PP_0012","recF","DNA replication/repair protein","Pseudomonas putida KT2440 (TIGR)","GO:0006281","DNA repair","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00611","PMID:24451626"
"PP_0013","gyrB","DNA gyrase subunit B","Pseudomonas putida KT2440 (TIGR)","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR01159","PMID:24451626"
"PP_0013","gyrB","DNA gyrase subunit B","Pseudomonas putida KT2440 (TIGR)","GO:0003918","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR01159","PMID:24451626"
"PP_0013","gyrB","DNA gyrase subunit B","Pseudomonas putida KT2440 (TIGR)","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR01159","PMID:24451626"
"PP_0013","gyrB","DNA gyrase subunit B","Pseudomonas putida KT2440 (TIGR)","GO:0006265","DNA topological change","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR01159","PMID:24451626"
"PP_0013","gyrB","DNA gyrase subunit B","Pseudomonas putida KT2440 (TIGR)","GO:0005694","chromosome","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01059","PMID:24451626"
"PP_0014","PP_0014","transposase","Pseudomonas putida KT2440 (TIGR)","GO:0003676","nucleic acid binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:3.30.420.10","PMID:24451626"
"PP_0014","PP_0014","transposase","Pseudomonas putida KT2440 (TIGR)","GO:0015074","DNA integration","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00665","PMID:24451626"
"PP_0015","PP_0015","transposon protein","Pseudomonas putida KT2440 (TIGR)","GO:0016887","ATPase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00382","PMID:24451626"
"PP_0015","PP_0015","transposon protein","Pseudomonas putida KT2440 (TIGR)","GO:0016887","ATP hydrolysis activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00382","PMID:24451626"
